1	0.039	-0.192	1.038																
2	-0.006	-0.197	1.024																
3	0.005	-0.182	0.948																
4	0.013	-0.113	0.936																
5	0.04	-0.062	0.967																
6	0.035	-0.024	0.971																
7	0.03	-0.024	0.983																
8	0.025	-0.051	0.977																
9	0.019	-0.071	0.979																
10	0.028	-0.108	0.986																just adding random stuff
11	0.037	-0.111	1																
12	0.041	-0.066	1.003																
13	0.007	-0.047	1.021																
14	0.004	-0.089	1.023																
15	0.042	-0.105	0.986																
16	0.039	-0.087	0.979																
17	0.03	-0.076	0.986																
18	0.051	-0.079	0.991																
19	0.039	-0.069	1.002																
20	0.033	-0.069	0.999																
21	0.058	-0.05	0.984																
22	0.055	-0.035	0.985																
23	0.084	0.024	0.976																
24	0.061	0.052	0.99																
25	0.022	-0.012	1.005																
26	0.015	-0.054	1.029																
27	0.005	-0.107	1.087																
28	0.028	-0.103	1.087																
29	0.023	-0.1	1.097																
30	0.037	-0.058	1.072																
31	0.062	-0.014	1.064																
32	0.061	0.014	1.069																
33	0.021	0.005	1.089																
34	0.079	-0.038	1.083																
35	0.062	-0.095	1.112																
36	0.019	-0.057	1.103																
37	-0.003	0.096	1.141																
38	0.02	0.123	1.157																
39	0.003	0.082	1.171																
40	-0.025	0.006	1.178																
41	0.01	-0.018	1.147																
42	0.01	-0.046	1.098																
43	0.022	0.033	1.009																
44	0.062	0.089	0.943																
45	0.062	0.1	0.902																
46	0.038	0.042	0.873																
47	0.076	-0.012	0.908																
48	0.087	-0.07	0.868																
49	0.1	-0.085	0.784																
50	0.126	-0.069	0.726																
51	0.114	-0.139	0.691																
52	0.147	-0.211	0.68																
53	0.104	-0.181	0.708																
54	0.086	-0.185	0.702																
55	0.104	-0.249	0.686																
56	0.231	-0.153	0.652																
57	0.106	-0.192	0.697																
58	0.071	-0.227	0.687																
59	0.109	-0.307	0.749																
60	0.129	-0.302	0.777																
61	0.097	-0.226	0.838																
62	0.07	-0.193	0.885																
63	0.1	-0.166	0.864																
64	0.064	-0.159	0.893																
65	0.083	-0.184	0.959																
66	0.074	-0.104	1.073																
67	0.055	-0.026	1.166																
68	0.02	0.05	1.295																
69	-0.021	0.089	1.436																
70	-0.047	0.082	1.556																
71	-0.027	0.127	1.562																
72	-0.027	0.21	1.584																
73	-0.044	0.232	1.482																
74	-0.066	0.135	1.477																
75	-0.007	0.098	1.346																
76	0.014	0.056	1.279																
77	0.083	0.016	1.182																
78	0.104	-0.014	1.047																
79	0.151	0.009	0.975																
80	0.142	0.073	1.004																
81	0.11	0.129	0.963																
82	0.083	0.098	0.886																
83	0.094	-0.046	0.861																
84	0.112	-0.129	0.779																
85	0.166	-0.076	0.704																
86	0.126	-0.035	0.6																
87	0.17	-0.106	0.557																
88	0.157	-0.147	0.639																
89	0.14	-0.18	0.65																
90	0.156	-0.232	0.619																
91	0.146	-0.251	0.617																
92	0.176	-0.229	0.64																
93	0.142	-0.267	0.645																
94	0.167	-0.313	0.708																
95	0.169	-0.32	0.729																
96	0.187	-0.226	0.671																
97	0.18	-0.204	0.587																
98	0.172	-0.213	0.635																
99	0.15	-0.216	0.733																
100	0.161	-0.159	0.81																
101	0.148	-0.103	0.783																
102	0.15	-0.019	0.869																
103	0.058	-0.058	0.983																
104	0.036	-0.067	1.13																
105	0.025	-0.025	1.259																
106	0.023	0.063	1.311																
107	-0.013	0.186	1.364																
108	-0.022	0.18	1.434																
109	-0.021	0.181	1.458																
110	-0.04	0.173	1.483																
111	-0.063	0.131	1.466																
112	-0.022	0.125	1.436																
113	-0.02	0.151	1.353																
114	0	0.12	1.306																
115	-0.001	0.087	1.261																
116	0.026	0.133	1.174																
117	0.074	0.132	1.14																
118	0.067	0.134	1.116																
119	0.081	0.119	1.105																
120	0.075	0.124	1.076																
121	0.096	0.083	1.083																
122	0.104	0.045	1.037																
123	0.115	0.091	0.967																
124	0.125	0.089	0.914																
125	0.113	0.049	0.863																
126	0.112	0.027	0.837																
127	0.095	0.016	0.824																
128	0.136	-0.018	0.83																
129	0.146	-0.102	0.768																
130	0.144	-0.118	0.621																
131	0.146	-0.112	0.536																
132	0.18	-0.13	0.51																
133	0.191	-0.236	0.464																
134	0.213	-0.24	0.41																
135	0.198	-0.181	0.433																
136	0.163	-0.158	0.522																
137	0.162	-0.166	0.574																
138	0.159	-0.195	0.602																
139	0.189	-0.293	0.66																
140	0.174	-0.257	0.723																
141	0.083	-0.153	0.719																
142	0.017	0.021	0.823																
143	-0.103	0.087	1.024																
144	-0.127	0.108	1.235																
145	-0.119	0.11	1.335																
146	-0.087	0.119	1.431																
147	-0.102	0.101	1.51																
148	-0.091	0.138	1.45																
149	-0.039	0.201	1.467																
150	-0.019	0.175	1.467																
151	-0.02	0.152	1.405																
152	-0.019	0.154	1.37																
153	-0.045	0.166	1.37																
154	-0.051	0.136	1.312																
155	-0.02	0.118	1.259																
156	-0.014	0.143	1.284																
157	-0.017	0.103	1.295																
158	0.018	0.024	1.165																
159	0.06	0.05	1.046																
160	0.079	0.099	0.968																
161	0.072	0.082	0.95																
162	0.091	0.088	0.979																
163	0.087	0.095	0.979																
164	0.06	0.05	0.966																
165	0.067	0.017	0.903																
166	0.077	0.017	0.817																
167	0.05	0.004	0.859																
168	0.038	-0.067	0.827																
169	0.078	-0.154	0.67																
170	0.104	-0.164	0.534																
171	0.097	-0.09	0.489																
172	0.074	-0.051	0.469																
173	0.081	-0.064	0.468																
174	0.087	-0.048	0.467																
175	0.116	-0.071	0.545																
176	0.122	-0.108	0.588																
177	0.112	-0.067	0.65																
178	0.138	-0.007	0.73																
179	0.08	0.118	0.845																
180	0.052	0.183	1.001																
181	0.024	0.109	1.024																
182	-0.007	0.149	1.147																
183	-0.037	0.2	1.321																
184	-0.032	0.19	1.424																
185	-0.05	0.181	1.46																
186	-0.04	0.135	1.467																
187	-0.018	0.065	1.395																
188	-0.005	0.063	1.342																
189	0.018	0.036	1.336																
190	0.011	0.063	1.437																
191	0.091	-0.007	1.328																
192	0.078	-0.012	1.252																
193	0.046	0.115	1.132																
194	0.085	0.074	1.076																
195	0.086	0.222	0.944																
196	0.089	0.27	1.094																
197	0.185	0.021	1.092																
198	0.018	0.039	0.991																
199	0.129	-0.054	0.97																
200	0.061	-0.046	0.975																
201	0.061	-0.069	0.866																
202	0.084	-0.011	0.839																
203	0.096	0.028	1.069																
204	0.078	0.183	1.043																
205	0.094	0.339	1																
206	0.116	0.302	1.092																
207	0.105	0.268	1.104																
208	0.048	0.244	0.991																
209	-0.022	0.088	0.935																
210	-0.073	0.013	0.77																
211	-0.016	0.013	0.58																
212	-0.043	-0.16	0.702																
213	-0.084	-0.348	0.69																
214	-0.025	-0.361	0.54																
215	0.038	-0.339	0.651																
216	0.124	-0.285	0.651																
217	0.18	-0.188	0.653																
218	0.187	-0.177	0.683																
219	0.207	-0.182	0.743																
220	0.215	-0.109	0.771																
221	0.197	-0.082	0.858																
222	0.191	-0.021	0.876																
223	0.17	0.07	0.873																
224	0.073	0.076	1.04																
225	0.02	0.058	1.195																
226	-0.002	0.151	1.279																
227	-0.031	0.065	1.4																
228	-0.098	-0.024	1.485																
229	-0.119	-0.109	1.365																
230	-0.091	-0.081	1.365																
231	-0.029	-0.146	1.52																
232	-0.032	-0.23	1.319																
233	-0.076	-0.261	1.198																
234	-0.074	-0.13	1.293																
235	0.076	0.088	1.151																
236	0.144	0.214	1.086																
237	0.149	0.207	1.027																
238	0.12	0.18	0.955																
239	0.085	0.174	0.957																
240	0.095	0.198	0.957																
241	0.094	0.204	0.983																
242	0.1	0.186	0.942																
243	0.054	0.201	0.849																
244	0.087	0.157	0.829																
245	0.103	0.089	0.81																
246	0.102	0.01	0.744																
247	0.079	0.036	0.678																
248	0.079	0.042	0.707																
249	0.125	-0.018	0.746																
250	0.104	-0.117	0.677																
251	0.013	-0.186	0.658																
252	0.04	-0.189	0.736																
253	-0.041	-0.12	0.811																
254	0.045	-0.187	0.828																
255	0.104	-0.108	0.888																
256	0.126	0.007	0.96																
257	0.126	0.024	1.02																
258	0.116	0.02	1.105																
259	0.138	0.09	1.027																
260	0.134	0.083	1.134																
261	0.134	0.095	1.126																
262	0.108	0.063	1.114																
263	0.056	-0.021	1.093																
264	0.025	-0.048	1.076																
265	0.008	-0.134	1.106																
266	-0.036	-0.201	0.981																
267	-0.073	-0.228	1.063																
268	-0.027	-0.121	1.063																
269	0.039	-0.094	1.184																
270	-0.026	-0.119	1.088																
271	-0.038	-0.026	1.08																
272	0.039	-0.083	0.992																
273	-0.156	-0.107	0.978																
274	-0.059	-0.148	1.107																
275	-0.003	-0.11	0.997																
276	-0.025	-0.116	1.022																
277	0.015	-0.043	1.007																
278	-0.024	-0.063	1.12																
279	-0.05	-0.091	1.15																
280	-0.03	-0.025	1.101																
281	0.012	0.024	1.09																
282	0.022	0.026	1.107																
